instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
point-set_10_13860916,253,251,68,1
point-set_10_4bcb7c21,324,318,77,2
point-set_10_7451a2a9,427,422,131,0
point-set_10_97578aae,346,344,101,0
point-set_10_ae0fff93,399,399,102,3
point-set_10_c04b0024,364,364,89,1
point-set_10_d009159f,330,329,74,0
point-set_10_f999dc7f,306,302,92,0
point-set_20_0c4009d9,475,468,150,3
point-set_20_34a047f7,322,316,90,4
point-set_20_41c48315,318,309,83,1
point-set_20_54ab0b47,399,396,110,0
point-set_20_5868538a,345,343,92,1
point-set_20_72cd2066,300,298,89,2
point-set_20_fa3fd7e0,392,388,118,2
point-set_40_1b92b629,368,367,94,6
point-set_40_8cbf31aa,396,393,103,1
point-set_40_9451c229,509,505,153,8
point-set_40_ae33a7ea,335,333,95,4
point-set_40_f511c8ce,265,261,83,6
point-set_60_27bc003d,494,487,229,16
point-set_60_2ff8f975,386,384,137,7
point-set_60_74409a1d,368,364,129,8
point-set_60_9fc02edd,421,418,123,3
point-set_60_ac318d72,437,436,129,9
point-set_80_1675b331,389,385,132,6
point-set_80_837b0f11,480,476,147,15
point-set_80_8383fead,460,454,185,29
point-set_80_9a8373fb,485,479,156,16
point-set_80_d77fb670,441,439,162,4
point-set_80_ff15444b,392,386,167,20
point-set_100_0245ce31,479,477,138,17
point-set_100_05594822,491,489,224,32
point-set_100_dd67678e,359,353,181,34
point-set_150_1fb326cf,771,753,400,56
point-set_150_20bcb550,474,470,203,78
point-set_150_982c9ab3,630,622,306,58
point-set_150_b26a2c80,418,409,199,41
point-set_250_3c338713,697,667,469,112
point-set_250_93dd622a,540,533,299,141
